id	NC1	NC10	NC100	NC101	NC102	NC11	NC12	NC13	NC14	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC27	NC28	NC29	NC3	NC30	NC31	NC32	NC33	NC34	NC35	NC36	NC37	NC38	NC39	NC4	NC40	NC41	NC42	NC43	NC44	NC45	NC46	NC47	NC48	NC49	NC5	NC50	NC51	NC52	NC53	NC54	NC55	NC56	NC57	NC58	NC59	NC6	NC60	NC61	NC62	NC63	NC64	NC65	NC66	NC67	NC68	NC69	NC7	NC70	NC71	NC72	NC73	NC74	NC75	NC76	NC77	NC78	NC79	NC8	NC80	NC81	NC82	NC83	NC84	NC85	NC86	NC87	NC88	NC89	NC9	NC90	NC91	NC92	NC93	NC94	NC95	NC96	NC97	NC98	NC99	NCFSBCneg	NCFSMFneg	NCSTBCneg	NCSTMFneg	St1	St100-St101	St102-St103	St104-St105	St106-St107	St11	St13	St15-St16	St17	St19	St21	St23-St24	St25-St26	St27-St28	St29-St30	St3-St4	St31-St32	St33-St34	St35-St36	St38	St39-St40	St41-St42	St43-St44	St45-St46	St47-St48	St49-St50	St5-St6	St51-St52	St53-St54	St55-St56	St57-St58	St59	St61-St62	St63-St64	St65-St66	St67-St68	St69-St70	St7-St8	St71-St108	St72-St73	St74-St75	St76-St77	St78-St79	St80-St81	St82-St83	St84-St85	St86-St87	St88-St89	St90-St91	St92-St93	St94-St95	St96-St97	St98-St99
BerryCrust_0000024	27	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	20	17	11	11	12	0	0	0	0	0	10	0	0	20	0	0	0	0	0	0	3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	3	3	6	1	16	0	0	0	5	0	0	0	0	4	9	1	0	6	13	42	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	5	3	0	5	1	1	0	0	0
BerryCrust_0000025	6	0	0	23444	26104	12	42	3	6	3	2	0	0	6	5	26	3	14388	1	3	2	3	4	42	6	2	2	1	1	14086	1	5	45	8636	18	39	1	1	1	9172	1107	36	3	2101	3203	3	8	5	3	11229	45	5	3	123	6	7	2509	1	57	27	1448	5	0	3	2	1	8498	29	0	213	2	0	5567	1	1	6	52	5	2	2	0	1	1	1	3	26	4	2	2	2	3	7	8	15446	171378	12581	21	718	5054	3	0	56250	0	1	1	236	2	5	5	1	1033	2	3	483	996	1694	416	2989	2470	5502	0	1434	136	246	2	5	1	22	0	5	2	2	0	2	244	2068	20550	127	446	165	99	470	2	1	0	0	1	1	7	1	0	1	1	1	1	3	21	0
BerryCrust_0000026	0	0	0	27	24	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	12	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	155	9	0	0	7	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	3	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	46	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000027	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	65	6	0	0	1	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000028	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	87	10	0	2	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000029	0	0	0	25	51	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	10	0	0	0	0	0	17	1	0	0	2	5	0	0	0	0	15	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	267	27	0	1	2	0	0	86	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	8	8	13	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000030	0	0	0	37	19	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	10	0	0	0	0	0	15	2	0	0	1	6	0	0	0	0	12	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	219	10	0	0	6	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	8	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000031	0	0	0	43	36	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	13	0	0	0	0	0	15	5	0	0	1	6	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	227	18	0	1	8	0	0	52	0	0	0	0	0	0	0	0	1	0	0	1	2	4	0	3	3	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000032	0	0	0	29	24	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	16	0	0	0	0	0	12	1	0	0	3	6	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	212	11	0	0	5	0	0	71	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	3	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BerryCrust_0000033	0	0	0	12	13	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	95	4	0	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
